what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1371824768396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371824998095
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371824999088
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371824999935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825003832
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825004597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825017716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825165908
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825299130
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825352364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825360476
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371825556493
started,bundle,org.eclipse.mylyn.resources.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.resources.ui",1371825556511
opened,editor,org.scala-ide.sdt.core,3.0.1.rc01-2_10-201306070828-c608228,"scala.tools.eclipse.ScalaSourceFileEditor",1371825557202
activated,editor,org.scala-ide.sdt.core,3.0.1.rc01-2_10-201306070828-c608228,"scala.tools.eclipse.ScalaSourceFileEditor",1371825557330
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371825565372
activated,editor,org.scala-ide.sdt.core,3.0.1.rc01-2_10-201306070828-c608228,"scala.tools.eclipse.ScalaSourceFileEditor",1371825565779
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825586769
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825587944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825593569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371825594594
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371825595899
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371825598154
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371825598836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1371825605770
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1371825643168
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1371825643274
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1371825643473
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.select.wordPrevious",1371825643625
