what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372674130715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372674133455
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372674156554
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372674158776
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372674210035
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372674492138
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372674611719
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1372674613468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372674616725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372674679623
activated,editor,org.scala-ide.sdt.core,3.0.1.rc01-2_10-201306070828-c608228,"scala.tools.eclipse.ScalaSourceFileEditor",1372674684032
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372674689529
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372674715261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372674720564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372674724862
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1372674728634
activated,editor,org.scala-ide.sdt.core,3.0.1.rc01-2_10-201306070828-c608228,"scala.tools.eclipse.ScalaSourceFileEditor",1372674728970
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1372674880463
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1372674881301
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineDown",1372674881765
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372675091392
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372675098285
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372675101036
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372675108234
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372675124083
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1372675403746
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.moveLineUp",1372675404274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372675424046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372675453508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372675459424
