what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371820029337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371820049091
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371820050591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820074032
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820074932
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820075912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820160813
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371820220635
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371820246278
activated,editor,org.scala-ide.sdt.core,3.0.1.rc01-2_10-201306070828-c608228,"scala.tools.eclipse.ScalaSourceFileEditor",1371820247966
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371820307811
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820366400
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820367626
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820372747
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820462260
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820476194
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820537792
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371820542207
activated,editor,org.scala-ide.sdt.core,3.0.1.rc01-2_10-201306070828-c608228,"scala.tools.eclipse.ScalaSourceFileEditor",1371820543972
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820626010
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820656794
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820660969
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820663125
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820709603
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371820711640
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371820737807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371820739110
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371820740518
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1371820829394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371820831042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1371820832738
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1371820875317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371821043750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371821166413
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371821167383
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371821168456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371821798389
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822456084
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1371822457186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1371822462060
