what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347351297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347354253
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1372347390643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372347391730
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347409874
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347414137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372347417162
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1372347418205
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347422013
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347430418
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347439620
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347474244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347487554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347579570
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372347634472
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372347634633
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347639057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347654669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347670218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347726361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372347729944
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372348076032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372348076555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372348112263
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372348182624
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.open.hierarchy",1372348182708
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372358969195
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372359007519
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372359012448
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359038213
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359041700
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1372359047033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372359048869
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1372359050883
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372359053804
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372359054837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372359055322
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359076139
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359077736
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359135318
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359144232
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1372359248164
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1372359258050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1372359329238
